day,alpha,prop_infected
52,0.6200000000000001,0.012069087885602013
53,0.6200000000000001,0.01064332555527005
54,0.6200000000000001,0.009385418132484181
55,0.6200000000000001,0.008275773336856236
56,0.6200000000000001,0.007297041890291334
57,0.6200000000000001,0.006433871540291652
58,0.6200000000000001,0.005672685412987821
59,0.6200000000000001,0.005001482957095191
60,0.6200000000000001,0.0044096616779859266
61,0.6200000000000001,0.0038878578688409044
62,0.6200000000000001,0.0034278046005795327
63,0.6200000000000001,0.003022205317257798
64,0.6200000000000001,0.002664621486753704
65,0.6200000000000001,0.0023493728691289114
66,0.6200000000000001,0.0020714490809220225
67,0.6200000000000001,0.001826431248542493
68,0.6200000000000001,0.0016104226550420068
69,0.6200000000000001,0.001419987390013777
70,0.6200000000000001,0.0012520961111247104
71,0.6200000000000001,0.0011040781172694182
72,0.6200000000000001,0.0009735790173741635
73,0.6200000000000001,0.0008585233555588302
74,0.6200000000000001,0.0007570816229459933
75,0.6200000000000001,0.0006676411492593492
76,0.6200000000000001,0.0005887804239156249
77,0.6200000000000001,0.0005192464470534555
78,0.6200000000000001,0.0004579347563375945
79,0.6200000000000001,0.0004038718158982895
80,0.6200000000000001,0.00035619948986724765
81,0.6200000000000001,0.00031416135508250943
82,0.6200000000000001,0.00027709063605560344
83,0.6200000000000001,0.0002443995705962428
84,0.6200000000000001,0.0002155700369125344
85,0.6200000000000001,0.0001901452928580318
86,0.6200000000000001,0.0001677226955618365
87,0.6200000000000001,0.00014794728520780835
88,0.6200000000000001,0.00013050613045170672
89,0.6200000000000001,0.00011512334508507206
90,0.6200000000000001,0.00010155569625454875
91,0.6200000000000001,8.958873398812298e-05
92,0.6200000000000001,7.90333801105264e-05
93,0.6200000000000001,6.972292197784918e-05
94,0.6200000000000001,6.151036294075664e-05
95,0.6200000000000001,5.426608715817575e-05
96,0.6200000000000001,4.78758014188801e-05
97,0.6200000000000001,4.223872106668432e-05
98,0.6200000000000001,3.726597103638091e-05
99,0.6200000000000001,3.2879176454354466e-05
100,0.6200000000000001,2.900922029496631e-05
1,0.6400000000000001,0.001
2,0.6400000000000001,0.0015399908571428573
3,0.6400000000000001,0.002352455857466
4,0.6400000000000001,0.0035740401999336574
5,0.6400000000000001,0.005408266844048149
6,0.6400000000000001,0.00815620213182247
7,0.6400000000000001,0.012258569989002936
8,0.6400000000000001,0.018350209267188305
9,0.6400000000000001,0.027322813757035602
10,0.6400000000000001,0.04037947963662269
11,0.6400000000000001,0.05903864181120985
12,0.6400000000000001,0.08500049623923576
13,0.6400000000000001,0.11973606316181805
14,0.6400000000000001,0.16365783907354778
15,0.6400000000000001,0.2149314610368227
16,0.6400000000000001,0.26854511373528833
17,0.6400000000000001,0.3168786900891778
18,0.6400000000000001,0.3525095517029627
19,0.6400000000000001,0.3716530606540967
20,0.6400000000000001,0.3751944744695632
21,0.6400000000000001,0.36678911071519404
22,0.6400000000000001,0.3504672655856533
23,0.6400000000000001,0.32945529330490086
24,0.6400000000000001,0.3060224919507216
25,0.6400000000000001,0.2816899013642581
26,0.6400000000000001,0.2574591915005488
27,0.6400000000000001,0.2339796506413478
28,0.6400000000000001,0.21165912762849948
29,0.6400000000000001,0.19073772489670962
30,0.6400000000000001,0.17133821106720187
31,0.6400000000000001,0.15350157612541265
32,0.6400000000000001,0.1372126380866386
33,0.6400000000000001,0.12241867155597738
34,0.6400000000000001,0.10904297724453133
35,0.6400000000000001,0.09699471391593753
36,0.6400000000000001,0.08617594638037925
37,0.6400000000000001,0.07648661727373933
38,0.6400000000000001,0.06782797519980352
39,0.6400000000000001,0.060104861996897546
40,0.6400000000000001,0.05322716370303773
41,0.6400000000000001,0.04711065491403861
42,0.6400000000000001,0.041677409028454133
43,0.6400000000000001,0.03685590324517492
44,0.6400000000000001,0.03258091400249096
45,0.6400000000000001,0.028793273407697606
46,0.6400000000000001,0.025439538229398775
47,0.6400000000000001,0.022471608757218618
48,0.6400000000000001,0.019846324153101808
49,0.6400000000000001,0.017525052961277685
50,0.6400000000000001,0.015473291548626734
51,0.6400000000000001,0.013660278908276468
52,0.6400000000000001,0.012058633091864016
53,0.6400000000000001,0.010644012247536923
54,0.6400000000000001,0.0093948016095881
55,0.6400000000000001,0.0082918266437031
56,0.6400000000000001,0.007318091772242314
57,0.6400000000000001,0.0064585435910898305
58,0.6400000000000001,0.005699857171366671
59,0.6400000000000001,0.005030243861691705
60,0.6400000000000001,0.004439278929260054
61,0.6400000000000001,0.003917747370685937
62,0.6400000000000001,0.0034575062640085593
63,0.6400000000000001,0.0030513621050515362
64,0.6400000000000001,0.0026929616624556075
65,0.6400000000000001,0.0023766949874972124
66,0.6400000000000001,0.0020976093210810587
67,0.6400000000000001,0.0018513327467320204
68,0.6400000000000001,0.0016340065420688602
69,0.6400000000000001,0.001442225280194697
70,0.6400000000000001,0.0012729838255053417
