day,lambda,value,group
85,2.0,0.00014545856315564083,misinformed
86,2.0,0.00012736354906287247,misinformed
87,2.0,0.00011153629793531914,misinformed
88,2.0,9.76904007998647e-05,misinformed
89,2.0,8.557590207896206e-05,misinformed
90,2.0,7.497462562872049e-05,misinformed
91,2.0,6.569610388422326e-05,misinformed
92,2.0,5.757403194464241e-05,misinformed
93,2.0,5.0463178572011434e-05,misinformed
94,2.0,4.42366949095714e-05,misinformed
95,2.0,3.8783769414840296e-05,misinformed
96,2.0,3.4007584194980986e-05,misinformed
97,2.0,2.9823533755570262e-05,misinformed
98,2.0,2.615767224040804e-05,misinformed
99,2.0,2.294535964734807e-05,misinformed
100,2.0,2.0130081338662743e-05,misinformed
1,2.2,0.001,misinformed
2,2.2,0.0011864828571428571,misinformed
3,2.2,0.0014568520664995244,misinformed
4,2.2,0.0018359708723381671,misinformed
5,2.2,0.002357241733795247,misinformed
6,2.2,0.003065202994429183,misinformed
7,2.2,0.004018840663405212,misinformed
8,2.2,0.005295727559965253,misinformed
9,2.2,0.0069970476237796245,misinformed
10,2.2,0.009253428233125204,misinformed
11,2.2,0.012231225662431133,misinformed
12,2.2,0.01613839444902656,misinformed
13,2.2,0.021228194747035724,misinformed
14,2.2,0.02779762098062214,misinformed
15,2.2,0.036175521963864615,misinformed
16,2.2,0.046693178332540344,misinformed
17,2.2,0.05962856618626118,misinformed
18,2.2,0.07511689030075351,misinformed
19,2.2,0.09302798534285044,misinformed
20,2.2,0.11282995024294823,misinformed
21,2.2,0.13348767694649621,misinformed
22,2.2,0.15347197100627935,misinformed
23,2.2,0.17094981261321396,misinformed
24,2.2,0.18415826311137456,misinformed
25,2.2,0.19184647638716104,misinformed
26,2.2,0.19358748533598125,misinformed
27,2.2,0.18980955665977806,misinformed
28,2.2,0.18155960648513278,misinformed
29,2.2,0.1701509182075281,misinformed
30,2.2,0.1568589800499297,misinformed
31,2.2,0.14274436649220182,misinformed
32,2.2,0.1285953568793921,misinformed
33,2.2,0.11494527741837476,misinformed
34,2.2,0.10212159552785754,misinformed
35,2.2,0.09029998194452858,misinformed
36,2.2,0.07955114116777944,misinformed
37,2.2,0.06987698975852732,misinformed
38,2.2,0.06123681285349189,misinformed
39,2.2,0.05356537157932189,misinformed
40,2.2,0.04678503638472084,misinformed
41,2.2,0.040813682221925364,misinformed
42,2.2,0.03556966108632709,misinformed
43,2.2,0.03097479854185424,misinformed
44,2.2,0.026956075626003852,misinformed
45,2.2,0.02344645011267843,misinformed
46,2.2,0.020385125193994155,misinformed
47,2.2,0.01771747287332767,misinformed
48,2.2,0.015394750494006114,misinformed
49,2.2,0.013373702039300184,misinformed
50,2.2,0.011616104164435422,misinformed
51,2.2,0.010088295536432774,misinformed
52,2.2,0.008760713663436804,misinformed
53,2.2,0.007607453748457947,misinformed
54,2.2,0.006605857680779595,misinformed
55,2.2,0.00573613704814369,misinformed
56,2.2,0.004981031311376581,misinformed
57,2.2,0.004325500551261381,misinformed
58,2.2,0.003756451147864676,misinformed
59,2.2,0.0032624921610808436,misinformed
60,2.2,0.0028337198942490903,misinformed
61,2.2,0.0024615280350131653,misinformed
62,2.2,0.0021384408070356416,misinformed
63,2.2,0.0018579666835632591,misinformed
